,100,200,300,400,500,600,700,800,900,1000,1100,1200,1279,1300,1400,1492,1500,1530,1600,1650,1700,1715,1783,1800,1815,1880,1900,1914,1920,1930,1938,1945,1960,1994,2000,2010
,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
'Amuwu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
A'i Cofán/Kofán,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
A'uwe,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Aaniiih,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Abbasid Caliphate,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdelouadides,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Abenaki / Abénaquis,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Abipones,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Abitibiwinni Aki,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Abnaki,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Aboriginal Tasmanians,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
Abyssinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Acadian Peninsula (UK),,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
Acaxea,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Accomack,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Accra,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Aceh,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,
Achagua,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Achires,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Acho Dene Koe,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Achuar,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Achumawi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Aché,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Achí,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Acjachemen (Juaneño),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
