name,latitude,longitude,inhabitedSince,inhabitedUntil,wikipedia,access,addr.city,alt_name,alt_name.ar,alt_name.cs,alt_name.el,alt_name.en,alt_name.he,civilizations,denomination,desc,description,description.de,description.en,description.he,description.hu,designation,ele,heritage,historic.civilization,historic.era,historic.period,image,image1,image2,image3,image4,image5,image6,image_1,image_2,inscription,int_name,is_in,layer,link,man_made,mapillary,name.ar,name.ar1,name.be,name.bg,name.bn,name.br,name.ca,name.ckb,name.cs,name.de,name.el,name.en,name.en1,name.en2,name.en3,name.en4,name.en5,name.en6,name.eo,name.es,name.fi,name.fr,name.gu,name.he,name.he1,name.he2,name.he3,name.hi,name.hu,name.hy,name.id,name.it,name.ja,name.ka,name.kn,name.ko,name.ku,name.la,name.lt,name.ml,name.mn,name.mr,name.nl,name.no,name.pa,name.pl,name.pt,name.ro,name.ru,name.sl,name.sr,name.tr,name.uk,name.vi,name.zh,name_local,natural,old_name,old_name.fr,place,ref.whc,reference,religion,short_name.cs,site_type,start_date,url,website,website1,whc.criteria,whc.inscription_date,wiki.en,wikidata,wikipedia.en,wpt_description
Aperlae,36.159605,29.7821787,,,tr:Aperlae,,,Aperlai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ἄπερλαι,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q618234,,
Tomb of the Kings,34.7748687,32.4057762,,,en:Tombs of the Kings (Paphos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paphos,,,,,,,,,,,,,,Paphos - Tomb of the Kings - Königsgräber von Nea Paphos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Царские гробницы,,,,,,,,,,,,,,,,,,,,,,,,Q1796353,,
Sobesos,38.464093,34.9660147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeological Park,34.756892,32.4065968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paphos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל שחרית,32.65,35.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Shaharit,,,,,,,,,,,,תל שחרית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל חציר,32.7219428,35.2033327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تل حصير,,,,,,,,,,,Tel Hazir,,,,,,,,,,,,תל חציר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל זית,31.6300842,34.8306502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Zayit,,,,,,,,,,Tel Zayit,,תל זית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q938712,,
תל קשיש,32.6851803,35.1096171,,,he:תל קשיש,,,,,,,,,,,,"תל קשיש, לידו מחלף תל קשיש הנקרא על שמו. ההגדה מספרת שעל התל הזה הרג אליהו הנביא את 40 נביאי הבעל ודמם נשטף אל מי הקישון אשר למרגלותיו, מפסגת הכרמל משקיף על התל מנזר המוחרקה, משם עלה אליהו הנביא השמיימה במרכבות סוסי אש.",,,"תל קשיש, לידו מחלף תל קשיש הנקרא על שמו. ההגדה מספרת שעל התל הזה הרג אליהו הנביא את 40 נביאי הבעל ודמם נשטף אל מי הקישון אשר למרגלותיו, מפסגת הכרמל משקיף על התל מנזר המוחרקה, משם עלה אליהו הנביא השמיימה במרכבות סוסי אש.",,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cd/IHM_תל_קשיש_4.jpeg,https://upload.wikimedia.org/wikipedia/commons/e/e5/IHM_תל_קשיש.jpeg,,https://upload.wikimedia.org/wikipedia/commons/c/c0/IHM_תל_קשיש_5.jpeg,,,,,,,,,,,,,,,,,,,,,,,,Tel Qashish,,,,,,,,,,Tell Kashish,,תל קשיש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4220548,,
תל זהבך,32.4857331,35.461633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Zehavi,,,,,,,,,,,,תל זהבך,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל שוקק,32.4965788,35.4620771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Shoqeq,,,,,,,,,,,,תל שוקק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל קדש,33.1101085,35.5309562,,,en:Kedesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Kedesh,Qadas,Qedesh Naftali,,,,,,,,Tel Qadesh,,תל קדש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2585161,,
